Modelo,Accuracy,Balanced Accuracy,F1-macro,Precision (positivo),Recall (positivo),ROC-AUC,Tiempo entrenamiento (s)
BETO (fine-tuned),0.87,0.81375,0.8034103763027843,0.6605504587155964,0.72,0.9110166666666666,
Regresión Logística,0.81625,0.811703125,0.7567419997308871,0.5266044531761624,0.804125,0.8855411347656249,1.4
XGBoost,0.797225,0.774265625,0.728608203063326,0.4953310339025826,0.736,0.858446822265625,136.7
SVM Lineal,0.841725,0.680671875,0.7079300849071486,0.6693728435153238,0.41225,0.8745395917968749,2.8
Naive Bayes Multinomial,0.834625,0.649984375,0.6777445407145348,0.6692740161329748,0.34225,0.876401865234375,0.0
